0.00	A3
0.09	A4
0.19	A4
0.28	A4
0.37	A4
0.46	A4
0.56	A4
0.65	A4
0.74	C4
0.84	C4
0.93	C4
1.02	E4
1.11	E4
1.21	E4
1.30	B4
1.39	B4
1.49	B4
1.58	C4
1.67	C4
1.76	E4
1.86	C4
1.95	C5
2.04	C5
2.14	C5
2.23	C4
2.32	C4
2.41	E4
2.51	C4
2.60	D5
2.69	D5
2.79	D5
2.88	C4
2.97	C4
3.07	C4
3.16	C4
3.25	D5
3.34	C5
3.44	C5
3.53	C4
3.62	C4
3.72	C4
3.81	C4
3.90	C4
3.99	B4
4.09	B4
4.18	C4
4.27	C4
4.37	C4
4.46	C4
4.55	C4
4.64	A4
4.74	A4
4.83	C4
4.92	C4
5.02	C4
5.11	C4
5.20	C4
5.29	C4
5.39	G4
5.48	G4
5.57	G4
5.67	C4
5.76	C4
5.85	C4
5.94	C4
6.04	C4
6.13	E4
6.22	C4
6.32	E4
6.41	E4
6.50	E4
6.59	E4
6.69	F#4
6.78	F#4
6.87	F#4
6.97	A3
7.06	D3
7.15	D4
7.24	D4
7.34	D4
7.43	F#4
7.52	F#4
7.62	D4
7.71	F#4
7.80	D4
7.89	A4
7.99	D4
8.08	D4
8.17	D4
8.27	D4
8.36	B4
8.45	D4
8.54	D4
8.64	D4
8.73	B4
8.82	F#4
8.92	C5
9.01	C5
9.10	C5
9.20	C5
9.29	F#4
9.38	F#4
9.47	D5
9.57	D5
9.66	D5
9.75	D5
9.85	D4
9.94	F#4
10.03	C5
10.12	C5
10.22	D4
10.31	D4
10.40	D4
10.50	D5
10.59	D4
10.68	B4
10.77	B4
10.87	D4
10.96	D4
11.05	B4
11.15	D4
11.24	D4
11.33	A4
11.42	A4
11.52	A4
11.61	A4
11.70	A4
11.80	A4
11.89	A4
11.98	A4
12.07	F#4
12.17	F#4
12.26	A4
12.35	A4
12.45	D4
12.54	D4
12.63	D4
12.72	D4
12.82	D4
12.91	D4
13.00	D4
13.10	D4
13.19	D4
13.28	D4
13.37	D4
13.47	D4
13.56	E3
13.65	A4
13.75	A4
13.84	A4
13.93	A4
14.02	C4
14.12	C4
14.21	E4
14.30	E4
14.40	B4
14.49	B4
14.58	B4
14.68	C4
14.77	C4
14.86	E4
14.95	C4
15.05	C4
15.14	C5
15.23	C4
15.33	C4
15.42	C4
15.51	C4
15.60	D5
15.70	D5
15.79	C4
15.88	C4
15.98	C4
16.07	C4
16.16	C4
16.25	C5
16.35	C4
16.44	C4
16.53	C4
16.63	C4
16.72	B4
16.81	B4
16.90	C4
17.00	C4
17.09	C4
17.18	C4
17.28	A4
17.37	C4
17.46	C4
17.55	C4
17.65	C4
17.74	C4
17.83	G4
17.93	C5
18.02	C4
18.11	C4
18.20	C4
18.30	C4
18.39	C4
18.48	F#4
18.58	C4
18.67	D4
18.76	D4
18.85	D4
18.95	D4
19.04	D4
19.13	A4
19.23	A4
19.32	A4
19.41	A4
19.50	A4
19.60	A4
19.69	B4
19.78	B4
19.88	D4
19.97	D4
20.06	D4
20.15	C5
20.25	C5
20.34	C5
20.43	C5
20.53	F#4
20.62	F#4
20.71	D5
20.81	D5
20.90	D5
20.99	D4
21.08	D4
21.18	C5
21.27	C5
21.36	C5
21.46	D4
21.55	D4
21.64	F#4
21.73	D4
21.83	B4
21.92	B4
22.01	B4
22.11	D4
22.20	B4
22.29	F#4
22.38	D4
22.48	D4
22.57	A4
22.66	A4
22.76	A4
22.85	A4
22.94	A4
23.03	A4
23.13	A4
23.22	A4
23.31	A4
23.41	F#4
23.50	F#4
23.59	A4
23.68	A4
23.78	A4
23.87	D4
23.96	D4
24.06	D4
24.15	D4
24.24	D5
24.33	D4
24.43	D4
24.52	G2
24.61	G2
24.71	D4
24.80	D4
24.89	D4
24.98	D4
25.08	D4
25.17	D4
25.26	A4
25.36	B4
25.45	B4
25.54	B4
25.63	B4
25.73	G4
25.82	B4
25.91	B4
26.01	B3
26.10	B3
26.19	F#4
26.28	F#4
26.38	B4
26.47	B4
26.56	D4
26.66	D4
26.75	E4
26.84	E4
26.94	B4
27.03	B4
27.12	D4
27.21	D4
27.31	F#4
27.40	B4
27.49	B4
27.59	B4
27.68	D4
27.77	G4
27.86	G4
27.96	B4
28.05	B4
28.14	D4
28.24	D4
28.33	F#4
28.42	F#4
28.51	B4
28.61	B4
28.70	D4
28.79	D4
28.89	D4
28.98	D4
29.07	G2
29.16	G2
29.26	G2
29.35	G2
29.44	G2
29.54	G2
29.63	B4
29.72	D4
29.81	D4
29.91	D4
30.00	G4
30.09	D3
30.19	B3
30.28	D4
30.37	D4
30.46	G2
30.56	G2
30.65	G2
30.74	G2
30.84	D4
30.93	D4
31.02	D4
31.11	E4
31.21	E4
31.30	B4
31.39	B4
31.49	B4
31.58	B4
31.67	B3
31.76	B3
31.86	B4
31.95	D4
32.04	D4
32.14	G4
32.23	G4
32.32	D4
32.42	D4
32.51	D4
32.60	D4
32.69	D4
32.79	D4
32.88	D4
32.97	D4
33.07	B3
33.16	D4
33.25	D4
33.34	B3
33.44	B3
33.53	F#4
33.62	D3
33.72	D3
33.81	D3
33.90	B3
33.99	D4
34.09	D4
34.18	D4
